rozklad,n,k,metoda,czas,liczba porównań punktów,liczba porównań współrzędnych,liczba punktów niezdominowanych
jednostajny,1000,2,filtracja,0.002424999955110252,2130,3202,6
jednostajny,1000,2,punkt_idealny,0.0031226000282913446,1046,2036,6
jednostajny,1000,2,klasyczna,0.03885799995623529,39009,49565,7
jednostajny,1000,2,filtracja,0.002251800033263862,2175,3308,7
jednostajny,1000,2,punkt_idealny,0.003088099998421967,1055,2084,7
jednostajny,1000,2,klasyczna,0.03366990003269166,33308,40899,5
jednostajny,1000,2,filtracja,0.0023645999608561397,2233,3451,5
jednostajny,1000,2,punkt_idealny,0.003068799967877567,1094,2178,5
jednostajny,1000,2,klasyczna,0.0321608999511227,32521,39714,13
jednostajny,1000,2,filtracja,0.002467299927957356,2359,3534,13
jednostajny,1000,2,punkt_idealny,0.003314599976874888,1229,2363,13
jednostajny,1000,2,klasyczna,0.01907120004761964,18872,22045,5
jednostajny,1000,2,filtracja,0.0021202999632805586,2045,3072,5
jednostajny,1000,2,punkt_idealny,0.0029576000524684787,1027,2029,5
jednostajny,1000,2,klasyczna,0.01715550001244992,17195,23227,4
jednostajny,1000,2,filtracja,0.0022048000246286392,2120,3181,4
jednostajny,1000,2,punkt_idealny,0.0030590000096708536,1107,2192,4
jednostajny,1000,2,klasyczna,0.021089899935759604,21016,26180,4
jednostajny,1000,2,filtracja,0.002149999956600368,2054,3098,4
jednostajny,1000,2,punkt_idealny,0.003041099989786744,1043,2035,4
jednostajny,1000,2,klasyczna,0.036446799989789724,36954,42303,11
jednostajny,1000,2,filtracja,0.002498599933460355,2415,3632,11
jednostajny,1000,2,punkt_idealny,0.003138400032185018,1151,2194,11
jednostajny,1000,2,klasyczna,0.027685599983669817,27992,34291,7
jednostajny,1000,2,filtracja,0.00229199999012053,2207,3376,7
jednostajny,1000,2,punkt_idealny,0.003073600004427135,1133,2208,7
jednostajny,1000,2,klasyczna,0.02830480004195124,28424,33281,4
jednostajny,1000,2,filtracja,0.002305599977262318,2230,3368,4
jednostajny,1000,2,punkt_idealny,0.0031707999296486378,1084,2106,4
jednostajny,1000,2,klasyczna,0.019540299894288182,19378,24909,6
jednostajny,1000,2,filtracja,0.0022076000459492207,2138,3216,6
jednostajny,1000,2,punkt_idealny,0.0031168999848887324,1092,2100,6
jednostajny,1000,2,klasyczna,0.025081399944610894,25126,32694,3
jednostajny,1000,2,filtracja,0.0021961999591439962,2129,3214,3
jednostajny,1000,2,punkt_idealny,0.003022099961526692,1007,2001,3
jednostajny,1000,2,klasyczna,0.02323759999126196,23382,27743,10
jednostajny,1000,2,filtracja,0.002688199980184436,2600,3899,10
jednostajny,1000,2,punkt_idealny,0.0033509000204503536,1239,2360,10
jednostajny,10000,2,klasyczna,0.7353237000061199,729592,852808,11
jednostajny,10000,2,filtracja,0.026767099974676967,21617,32588,11
jednostajny,10000,2,punkt_idealny,0.03246509993914515,10392,20745,11
jednostajny,10000,2,klasyczna,0.5289779000449926,520652,637577,8
jednostajny,10000,2,filtracja,0.022373300045728683,20366,30568,8
jednostajny,10000,2,punkt_idealny,0.033074299921281636,10119,20107,8
jednostajny,10000,2,klasyczna,0.43545150000136346,417075,473254,12
jednostajny,10000,2,filtracja,0.02185530005954206,20888,31331,12
jednostajny,10000,2,punkt_idealny,0.034892800031229854,10792,21003,12
jednostajny,10000,2,klasyczna,0.275465999962762,262367,339867,9
jednostajny,10000,2,filtracja,0.02423019998241216,20517,30783,9
jednostajny,10000,2,punkt_idealny,0.03846890002023429,10351,20612,9
jednostajny,10000,2,klasyczna,0.6019843999529257,585604,687632,11
jednostajny,10000,2,filtracja,0.02368660003412515,20789,31213,11
jednostajny,10000,2,punkt_idealny,0.0382760000647977,10494,20674,11
jednostajny,10000,2,klasyczna,0.493525099940598,466783,546356,11
jednostajny,10000,2,filtracja,0.023891199962235987,20425,30928,11
jednostajny,10000,2,punkt_idealny,0.03557619999628514,10592,20761,11
jednostajny,10000,2,klasyczna,0.4231186000397429,407859,493348,9
jednostajny,10000,2,filtracja,0.02240469993557781,21355,32042,9
jednostajny,10000,2,punkt_idealny,0.03670870000496507,10618,20678,9
jednostajny,10000,2,klasyczna,0.534302500076592,505554,621407,9
jednostajny,10000,2,filtracja,0.02260480006225407,20497,30801,9
jednostajny,10000,2,punkt_idealny,0.04122279991861433,10342,20490,9
jednostajny,10000,2,klasyczna,0.8247866999590769,792503,932657,12
jednostajny,10000,2,filtracja,0.022201300016604364,20640,31144,12
jednostajny,10000,2,punkt_idealny,0.03576729993801564,10872,21417,12
jednostajny,10000,2,klasyczna,0.4269390000263229,411622,468170,14
jednostajny,10000,2,filtracja,0.025343899964354932,21966,32955,14
jednostajny,10000,2,punkt_idealny,0.18516849994193763,10457,20754,14
jednostajny,10000,2,klasyczna,0.27030590001959354,251632,308483,7
jednostajny,10000,2,filtracja,0.023792400024831295,20463,30696,7
jednostajny,10000,2,punkt_idealny,0.0375647998880595,10365,20558,7
jednostajny,10000,2,klasyczna,0.4822530000237748,461720,522313,7
jednostajny,10000,2,filtracja,0.02203280001413077,20429,30751,7
jednostajny,10000,2,punkt_idealny,0.03858539997600019,10353,20498,7
jednostajny,10000,2,klasyczna,0.46976340003311634,454452,538653,8
jednostajny,10000,2,filtracja,0.022161199944093823,20136,30343,8
jednostajny,10000,2,punkt_idealny,0.0347495999885723,10159,20173,8
jednostajny,10000,2,klasyczna,0.37806160002946854,367035,424694,5
jednostajny,10000,2,filtracja,0.021654199925251305,20021,30096,5
jednostajny,10000,2,punkt_idealny,0.03558030002750456,10013,20014,5
jednostajny,10000,2,klasyczna,0.6778493999736384,645363,750528,11
jednostajny,10000,2,filtracja,0.023315400001592934,21017,31556,11
jednostajny,10000,2,punkt_idealny,0.039244200102984905,10381,20511,11
jednostajny,10000,2,klasyczna,0.4831248000264168,461904,537265,14
jednostajny,10000,2,filtracja,0.022269499953836203,20972,31490,14
jednostajny,10000,2,punkt_idealny,0.03872419998515397,10652,21032,14
jednostajny,10000,2,klasyczna,0.47148760000709444,455566,535882,12
jednostajny,10000,2,filtracja,0.023730400018393993,20698,31103,12
jednostajny,10000,2,punkt_idealny,0.03903149999678135,10363,20520,12
jednostajny,10000,2,klasyczna,0.5609018000541255,537066,653384,15
jednostajny,10000,2,filtracja,0.024316900060512125,22117,33230,15
jednostajny,10000,2,punkt_idealny,0.03521530004218221,10606,20825,15
jednostajny,10000,2,klasyczna,0.5590808000415564,539543,641529,11
jednostajny,10000,2,filtracja,0.022131499950774014,20583,30966,11
jednostajny,10000,2,punkt_idealny,0.03492439992260188,10297,20430,11
jednostajny,10000,2,klasyczna,0.5746373999863863,557818,648177,9
jednostajny,10000,2,filtracja,0.022267599939368665,20821,31534,9
jednostajny,10000,2,punkt_idealny,0.03791269997600466,10397,20631,9
jednostajny,100,3,klasyczna,0.002980099990963936,2566,3770,12
jednostajny,100,3,filtracja,0.0005817000055685639,500,922,12
jednostajny,100,3,punkt_idealny,0.0004512000596150756,198,417,12
jednostajny,100,3,klasyczna,0.004200399969704449,3626,5223,17
